id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
438,COMP_M,5,5_23,5_(20-23),33,36,153,153,5_20,4.345234523452345,16746.705535115136,16751.050769638587,16746.705535115136,16746.705535115136
546,COMP_M,9,9_39,M.USER.APP.9,12,56,197,153,None,4.191819181918192,16775.55751005553,16779.749329237446,4200.0,16775.55751005553
546,COMP_M,9,9_40,9_(39-40),56,52,153,153,9_39,2.5602560256025604,16779.749329237446,16782.309585263047,16779.749329237446,16779.749329237446
546,COMP_M,9,9_42,9_(39-42),56,54,153,153,9_39,5.144314431443144,16779.749329237446,16784.89364366889,16779.749329237446,16779.749329237446
546,COMP_M,9,9_41,9_(40-41),52,53,153,153,9_40,2.1939193919391937,16782.309585263047,16784.503504654986,16782.309585263047,16782.309585263047
546,COMP_M,9,9_43,9_(42-43),54,55,153,153,9_42,5.398239823982398,16784.89364366889,16790.29188349287,16784.89364366889,16784.89364366889
565,COMP_M,3,3_9,M.USER.APP.3,5,22,194,153,None,2.0613061306130613,16812.476853388864,16814.538159519478,4400.0,16812.476853388864
565,COMP_M,3,3_10,3_(9-10),22,23,153,153,3_9,5.02930293029303,16814.538159519478,16819.56746244977,16814.538159519478,16814.538159519478
258,COMP_M,7,7_33,M.USER.APP.7,10,46,198,153,None,4.825982598259826,16849.926991722197,16854.752974320458,2000.0,16849.926991722197
258,COMP_M,7,7_34,7_(33-34),46,47,153,153,7_33,2.1406140614061404,16854.752974320458,16856.893588381863,16854.752974320458,16854.752974320458
616,COMP_M,2,2_7,M.USER.APP.2,4,21,178,153,None,4.572357235723572,16886.916700722195,16891.48905795792,4800.0,16886.916700722195
616,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,16891.48905795792,16895.010010053127,16891.48905795792,16891.48905795792
614,COMP_M,2,2_7,M.USER.APP.2,2,21,195,153,None,4.572357235723572,16923.9064097222,16928.478766957924,4800.0,16923.9064097222
614,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,16928.478766957924,16931.999719053132,16928.478766957924,16928.478766957924
615,COMP_M,2,2_7,M.USER.APP.2,3,21,172,153,None,4.572357235723572,16960.8961187222,16965.468475957925,4800.0,16960.8961187222
615,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,16965.468475957925,16968.989428053133,16965.468475957925,16965.468475957925
294,COMP_M,4,4_11,M.USER.APP.4,7,24,169,153,None,3.3594359435943595,16998.2202617222,17001.579697665795,2300.0,16998.2202617222
294,COMP_M,4,4_16,4_(11-16),24,29,153,153,4_11,3.0558055805580557,17001.579697665795,17004.635503246354,17001.579697665795,17001.579697665795
294,COMP_M,4,4_12,4_(11-12),24,25,153,153,4_11,2.6193619361936196,17001.579697665795,17004.19905960199,17001.579697665795,17001.579697665795
294,COMP_M,4,4_14,4_(11-14),24,27,153,153,4_11,4.254725472547254,17001.579697665795,17005.83442313834,17001.579697665795,17001.579697665795
294,COMP_M,4,4_13,4_(12-13),25,26,153,153,4_12,5.972797279727973,17004.19905960199,17010.171856881716,17004.19905960199,17004.19905960199
294,COMP_M,4,4_18,4_(14-18),27,31,153,153,4_14,3.278027802780278,17005.83442313834,17009.11245094112,17005.83442313834,17005.83442313834
294,COMP_M,4,4_15,4_(14-15),27,28,153,153,4_14,2.0973097309730973,17005.83442313834,17007.931732869314,17005.83442313834,17005.83442313834
294,COMP_M,4,4_17,4_(15-17),28,30,153,153,4_15,4.658165816581658,17007.931732869314,17012.589898685896,17007.931732869314,17007.931732869314
545,COMP_M,8,8_35,M.USER.APP.8,11,48,199,153,None,3.658865886588659,17035.252163722205,17038.911029608793,4200.0,17035.252163722205
545,COMP_M,8,8_36,8_(35-36),48,49,153,153,8_35,3.637063706370637,17038.911029608793,17042.548093315163,17038.911029608793,17038.911029608793
545,COMP_M,8,8_37,8_(35-37),48,50,153,153,8_35,5.9183918391839185,17038.911029608793,17044.829421447976,17038.911029608793,17038.911029608793
545,COMP_M,8,8_38,8_(36-38),49,51,153,153,8_36,2.6967696769676968,17042.548093315163,17045.24486299213,17042.548093315163,17042.548093315163
569,COMP_M,6,6_27,M.USER.APP.6,9,41,194,153,None,3.393939393939394,17072.0213387222,17075.41527811614,4400.0,17072.0213387222
569,COMP_M,6,6_28,6_(27-28),41,42,153,153,6_27,5.891989198919892,17075.41527811614,17081.30726731506,17075.41527811614,17075.41527811614
569,COMP_M,6,6_29,6_(28-29),42,43,153,153,6_28,6.000300030003,17081.30726731506,17087.307567345062,17081.30726731506,17081.30726731506
569,COMP_M,6,6_30,6_(28-30),42,44,153,153,6_28,2.8644864486448647,17081.30726731506,17084.171753763705,17081.30726731506,17081.30726731506
569,COMP_M,6,6_31,6_(28-31),42,45,153,153,6_28,5.935193519351936,17081.30726731506,17087.24246083441,17081.30726731506,17081.30726731506
569,COMP_M,6,6_32,6_(29-32),43,40,153,153,6_29,4.658265826582658,17087.307567345062,17091.965833171645,17087.307567345062,17087.307567345062
262,COMP_M,1,1_5,M.USER.APP.1,1,18,196,153,None,4.342334233423342,17109.39524738887,17113.737581622296,2100.0,17109.39524738887
262,COMP_M,1,1_6,1_(5-6),18,19,153,153,1_5,3.645964596459646,17113.737581622296,17117.383546218756,17113.737581622296,17113.737581622296
559,COMP_M,9,9_39,M.USER.APP.9,12,56,197,153,None,4.191819181918192,17146.874485055538,17151.066304237454,4300.0,17146.874485055538
559,COMP_M,9,9_40,9_(39-40),56,52,153,153,9_39,2.5602560256025604,17151.066304237454,17153.626560263056,17151.066304237454,17151.066304237454
559,COMP_M,9,9_42,9_(39-42),56,54,153,153,9_39,5.144314431443144,17151.066304237454,17156.210618668898,17151.066304237454,17151.066304237454
559,COMP_M,9,9_41,9_(40-41),52,53,153,153,9_40,2.1939193919391937,17153.626560263056,17155.820479654994,17153.626560263056,17153.626560263056
559,COMP_M,9,9_43,9_(42-43),54,55,153,153,9_42,5.398239823982398,17156.210618668898,17161.60885849288,17156.210618668898,17156.210618668898
629,COMP_M,2,2_7,M.USER.APP.2,4,21,178,153,None,4.572357235723572,17183.86419405554,17188.436551291263,4900.0,17183.86419405554
629,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,17188.436551291263,17191.95750338647,17188.436551291263,17188.436551291263
300,COMP_M,0,0_0,M.USER.APP.0,0,13,169,153,None,3.874687468746875,17220.510778722208,17224.385466190954,2400.0,17220.510778722208
300,COMP_M,0,0_1,0_(0-1),13,14,153,153,0_0,5.017101710171017,17224.385466190954,17229.402567901125,17224.385466190954,17224.385466190954
300,COMP_M,0,0_3,0_(0-3),13,16,153,153,0_0,5.815981598159816,17224.385466190954,17230.201447789113,17224.385466190954,17224.385466190954
300,COMP_M,0,0_2,0_(1-2),14,15,153,153,0_1,3.855885588558856,17229.402567901125,17233.258453489685,17229.402567901125,17229.402567901125
300,COMP_M,0,0_4,0_(1-4),14,17,153,153,0_1,5.569056905690569,17229.402567901125,17234.971624806814,17229.402567901125,17229.402567901125
578,COMP_M,3,3_9,M.USER.APP.3,5,22,194,153,None,2.0613061306130613,17257.430122055535,17259.49142818615,4500.0,17257.430122055535
578,COMP_M,3,3_10,3_(9-10),22,23,153,153,3_9,5.02930293029303,17259.49142818615,17264.52073111644,17259.49142818615,17259.49142818615
627,COMP_M,2,2_7,M.USER.APP.2,2,21,195,153,None,4.572357235723572,17294.419831055537,17298.99218829126,4900.0,17294.419831055537
627,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,17298.99218829126,17302.51314038647,17298.99218829126,17298.99218829126
628,COMP_M,2,2_7,M.USER.APP.2,3,21,172,153,None,4.572357235723572,17331.409540055538,17335.98189729126,4900.0,17331.409540055538
628,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,17335.98189729126,17339.50284938647,17335.98189729126,17335.98189729126
451,COMP_M,5,5_19,M.USER.APP.5,8,32,187,153,None,2.645964596459646,17368.40499472221,17371.05095931867,3500.0,17368.40499472221
451,COMP_M,5,5_24,5_(19-24),32,37,153,153,5_19,2.088008800880088,17371.05095931867,17373.13896811955,17371.05095931867,17371.05095931867
451,COMP_M,5,5_25,5_(19-25),32,38,153,153,5_19,3.326632663266327,17371.05095931867,17374.377591981935,17371.05095931867,17371.05095931867
451,COMP_M,5,5_20,5_(19-20),32,33,153,153,5_19,5.9812981298129815,17371.05095931867,17377.03225744848,17371.05095931867,17371.05095931867
451,COMP_M,5,5_22,5_(19-22),32,35,153,153,5_19,3.670967096709671,17371.05095931867,17374.72192641538,17371.05095931867,17371.05095931867
451,COMP_M,5,5_26,5_(20-26),33,39,153,153,5_20,2.2708270827082706,17377.03225744848,17379.30308453119,17377.03225744848,17377.03225744848
451,COMP_M,5,5_21,5_(20-21),33,34,153,153,5_20,4.0832083208320835,17377.03225744848,17381.115465769315,17377.03225744848,17377.03225744848
451,COMP_M,5,5_23,5_(20-23),33,36,153,153,5_20,4.345234523452345,17377.03225744848,17381.377491971933,17377.03225744848,17377.03225744848
558,COMP_M,8,8_35,M.USER.APP.8,11,48,199,153,None,3.658865886588659,17405.43689672221,17409.0957626088,4300.0,17405.43689672221
558,COMP_M,8,8_36,8_(35-36),48,49,153,153,8_35,3.637063706370637,17409.0957626088,17412.73282631517,17409.0957626088,17409.0957626088
558,COMP_M,8,8_37,8_(35-37),48,50,153,153,8_35,5.9183918391839185,17409.0957626088,17415.01415444798,17409.0957626088,17409.0957626088
558,COMP_M,8,8_38,8_(36-38),49,51,153,153,8_36,2.6967696769676968,17412.73282631517,17415.429595992136,17412.73282631517,17412.73282631517
582,COMP_M,6,6_27,M.USER.APP.6,9,41,194,153,None,3.393939393939394,17442.206071722205,17445.600011116145,4500.0,17442.206071722205
582,COMP_M,6,6_28,6_(27-28),41,42,153,153,6_27,5.891989198919892,17445.600011116145,17451.492000315066,17445.600011116145,17445.600011116145
582,COMP_M,6,6_29,6_(28-29),42,43,153,153,6_28,6.000300030003,17451.492000315066,17457.492300345068,17451.492000315066,17451.492000315066
582,COMP_M,6,6_30,6_(28-30),42,44,153,153,6_28,2.8644864486448647,17451.492000315066,17454.35648676371,17451.492000315066,17451.492000315066
582,COMP_M,6,6_31,6_(28-31),42,45,153,153,6_28,5.935193519351936,17451.492000315066,17457.427193834417,17451.492000315066,17451.492000315066
582,COMP_M,6,6_32,6_(29-32),43,40,153,153,6_29,4.658265826582658,17457.492300345068,17462.15056617165,17457.492300345068,17457.492300345068
267,COMP_M,3,3_9,M.USER.APP.3,6,22,196,153,None,2.0613061306130613,17479.12541505554,17481.186721186154,2100.0,17479.12541505554
